employee_id,first_name,last_name,email
1,Lisa,Adams,lisa.adams@example.com
2,John,Bowman,john.bowman@example.com
3,Karen,Clark,karen.clark@example.com
4,James,Davis,james.davis@example.com
5,Susan,Evans,susan.evans@example.com
6,Robert,Foster,robert.foster@example.com
7,Linda,Gonzalez,linda.gonzalez@example.com
8,Michael,Harris,michael.harris@example.com
9,Phillip,Ingram,phillip.ingram@example.com
10,Nancy,Jackson,nancy.jackson@example.com
11,George,Kelly,george.kelly@example.com
12,Sandra,Lopez,sandra.lopez@example.com
13,Thomas,Martin,thomas.martin@example.com
14,Barbara,Nelson,barbara.nelson@example.com
15,Steven,Ortiz,steven.ortiz@example.com
16,Mary,Parker,mary.parker@example.com
17,Joseph,Roberts,joseph.roberts@example.com
18,Betty,Scott,betty.scott@example.com
19,Charles,Taylor,charles.taylor@example.com
20,Dorothy,Williams,dorothy.williams@example.com
